step,mean_loss,epoch,compute_time
193,1.0701551,6,2024-09-15 01:57:36.600681+00:00
194,6.066243,6,2024-09-15 01:57:37.353812+00:00
195,2.527798,6,2024-09-15 01:57:38.052891+00:00
196,2.0382411,6,2024-09-15 01:57:38.924425+00:00
197,5.2322273,6,2024-09-15 01:57:39.854538+00:00
198,2.4335945,6,2024-09-15 01:57:40.613969+00:00
199,8.228488,6,2024-09-15 01:57:41.464604+00:00
200,6.5550175,7,2024-09-15 01:57:42.459628+00:00
201,2.136398,7,2024-09-15 01:57:43.357723+00:00
202,0.7927944,7,2024-09-15 01:57:44.275259+00:00
203,6.427528,7,2024-09-15 01:57:45.037981+00:00
204,2.6383219,7,2024-09-15 01:57:45.973599+00:00
205,1.7170446,7,2024-09-15 01:57:46.784893+00:00
206,1.845393,7,2024-09-15 01:57:47.706728+00:00
207,1.9719226,7,2024-09-15 01:57:48.472583+00:00
208,3.2066226,7,2024-09-15 01:57:49.249881+00:00
209,2.9295294,7,2024-09-15 01:57:50.228038+00:00
210,2.16844,7,2024-09-15 01:57:51.168263+00:00
211,2.312757,7,2024-09-15 01:57:52.038976+00:00
212,2.0731328,7,2024-09-15 01:57:52.832898+00:00
213,2.3103557,7,2024-09-15 01:57:53.514748+00:00
214,8.691664,7,2024-09-15 01:57:54.414009+00:00
215,3.4912481,7,2024-09-15 01:57:55.969939+00:00
216,1.0447465,7,2024-09-15 01:57:56.956854+00:00
217,1.2914946,7,2024-09-15 01:57:57.812660+00:00
218,5.1603136,7,2024-09-15 01:57:58.790464+00:00
219,1.3785559,7,2024-09-15 01:57:59.523552+00:00
220,3.304015,7,2024-09-15 01:58:00.196152+00:00
221,2.8829048,7,2024-09-15 01:58:00.931210+00:00
222,0.6518466,7,2024-09-15 01:58:01.874675+00:00
223,3.1410418,7,2024-09-15 01:58:02.675120+00:00
224,9.695626,7,2024-09-15 01:58:03.609945+00:00
225,3.5265539,7,2024-09-15 01:58:04.403800+00:00
226,3.5136006,7,2024-09-15 01:58:05.326830+00:00
227,1.7922945,7,2024-09-15 01:58:06.276625+00:00
228,5.0701866,8,2024-09-15 01:58:07.209205+00:00
229,1.3127261,8,2024-09-15 01:58:07.906099+00:00
230,1.6589092,8,2024-09-15 01:58:08.944340+00:00
231,0.71177155,8,2024-09-15 01:58:09.871329+00:00
232,2.2745414,8,2024-09-15 01:58:10.810911+00:00
233,1.6375089,8,2024-09-15 01:58:11.586932+00:00
234,1.9424919,8,2024-09-15 01:58:12.522080+00:00
235,3.2025895,8,2024-09-15 01:58:13.435200+00:00
236,3.6608214,8,2024-09-15 01:58:14.359007+00:00
237,0.8877213,8,2024-09-15 01:58:15.310245+00:00
238,2.2450333,8,2024-09-15 01:58:16.154793+00:00
239,4.371182,8,2024-09-15 01:58:17.107070+00:00
240,3.3917558,8,2024-09-15 01:58:17.962588+00:00
241,2.4160786,8,2024-09-15 01:58:18.683805+00:00
242,1.3939351,8,2024-09-15 01:58:19.397499+00:00
243,5.824974,8,2024-09-15 01:58:20.387499+00:00
244,2.6921453,8,2024-09-15 01:58:21.035703+00:00
245,0.87421155,8,2024-09-15 01:58:21.703950+00:00
246,3.387115,8,2024-09-15 01:58:22.361182+00:00
247,5.351203,8,2024-09-15 01:58:23.196610+00:00
248,2.0577135,8,2024-09-15 01:58:24.124803+00:00
249,1.1076573,8,2024-09-15 01:58:24.976363+00:00
250,1.1743846,8,2024-09-15 01:58:25.909488+00:00
251,0.30540437,8,2024-09-15 01:58:27.457569+00:00
252,3.9665098,8,2024-09-15 01:58:28.096287+00:00
253,4.095709,8,2024-09-15 01:58:29.021672+00:00
254,5.9404917,8,2024-09-15 01:58:29.947007+00:00
255,2.4911578,8,2024-09-15 01:58:30.786853+00:00
256,1.9060365,8,2024-09-15 01:58:31.469373+00:00
257,0.6726311,9,2024-09-15 01:58:32.412721+00:00
258,1.2170193,9,2024-09-15 01:58:33.214379+00:00
259,1.0421945,9,2024-09-15 01:58:34.169866+00:00
260,3.2173586,9,2024-09-15 01:58:34.878329+00:00
261,2.7315109,9,2024-09-15 01:58:35.799900+00:00
